step=5000 loss=0.0011147229233756661
step=10000 loss=0.0011229804949834943
step=15000 loss=0.0010155952768400311
step=20000 loss=0.0009857802651822567
step=25000 loss=0.0008096853271126747
step=30000 loss=0.000782370159868151
step=35000 loss=0.0007273781229741871
step=40000 loss=0.0007699839770793915
step=45000 loss=0.0006984072970226407
step=50000 loss=0.0007866386440582573
step=55000 loss=0.0007376355933956802
step=60000 loss=0.0008360433857887983
step=65000 loss=0.0007363877957686782
step=70000 loss=0.0007768892683088779
step=75000 loss=0.0007152006146498024
final_step=80000 loss=0.0006897795246914029
